F5	9606.ENSP00000354631
AR	9606.ENSP00000363822
PC	9606.ENSP00000347900
MT	9606.ENSP00000290429
TH	9606.ENSP00000370571
BF	9606.ENSP00000364604
IF	9606.ENSP00000369256
F3	9606.ENSP00000334145
FY	9606.ENSP00000357106
HIST2H2AA	9606.ENSP00000358155
TNFRSF10A	9606.ENSP00000370315
HIST2H2AC	9606.ENSP00000332194
HIST2H2BE	9606.ENSP00000336417
IFT140	9606.ENSP00000354895
DNAJC5	9606.ENSP00000358930
CYP2B6	9606.ENSP00000324648
RBPSUH	9606.ENSP00000354528
LRRC21	9606.ENSP00000361177
PDLIM4	9606.ENSP00000253754
CSN1S1	9606.ENSP00000246891
TRIOBP	9606.ENSP00000340312
MARCKS	9606.ENSP00000357624
DNASE1	9606.ENSP00000246949
PYCARD	9606.ENSP00000247470
NUDT11	9606.ENSP00000365160
RALBP1	9606.ENSP00000019317
EIF2C2	9606.ENSP00000367027
BCAP31	9606.ENSP00000343458
PRSS27	9606.ENSP00000306390
SFRS11	9606.ENSP00000359988
MAPK14	9606.ENSP00000229794
HOMER2	9606.ENSP00000305632
SLC4A3	9606.ENSP00000362867
BCL2L1	9606.ENSP00000365230
MYCBP2	9606.ENSP00000353197
ZNF143	9606.ENSP00000299606
UGT1A9	9606.ENSP00000362513
MRGPRF	9606.ENSP00000309782
OPN1MW	9606.ENSP00000358951
PTGER3	9606.ENSP00000359972
MAP3K8	9606.ENSP00000364477
CDKN2A	9606.ENSP00000355153
PRKAG3	9606.ENSP00000233944
BAIAP2	9606.ENSP00000316338
GAPDHS	9606.ENSP00000222286
IFT122	9606.ENSP00000296266
VPS13B	9606.ENSP00000351346
PAPSS1	9606.ENSP00000265174
CCHCR1	9606.ENSP00000365442
CYP3A4	9606.ENSP00000337915
CXCL10	9606.ENSP00000305651
CXCL12	9606.ENSP00000363548
SEPHS1	9606.ENSP00000367893
AKR1A1	9606.ENSP00000312606
UGT1A8	9606.ENSP00000362513
CXCL13	9606.ENSP00000286758
NFKBIA	9606.ENSP00000216797
LGALS1	9606.ENSP00000215909
PMAIP1	9606.ENSP00000269518
RNASE3	9606.ENSP00000302324
FANCD2	9606.ENSP00000287647
HMGCS2	9606.ENSP00000358414
AKR1B1	9606.ENSP00000285930
CYP1A1	9606.ENSP00000369050
C9orf3	9606.ENSP00000364464
LANCL1	9606.ENSP00000233714
TFAP2A	9606.ENSP00000368933
GPR151	9606.ENSP00000308733
SQSTM1	9606.ENSP00000292588
SLC4A1	9606.ENSP00000262418
HDHD1A	9606.ENSP00000370467
TWIST1	9606.ENSP00000242261
YME1L1	9606.ENSP00000318480
PTGER4	9606.ENSP00000371131
IGFBP3	9606.ENSP00000370473
PLA2G6	9606.ENSP00000333142
NSFL1C	9606.ENSP00000371068 outdated
METAP2	9606.ENSP00000325312
NDUFA2	9606.ENSP00000252102
PRKAB1	9606.ENSP00000229328
RNASE1	9606.ENSP00000344193
ERVWE1	9606.ENSP00000347321
S100A6	9606.ENSP00000357709
ATP1A3	9606.ENSP00000302397
DICER1	9606.ENSP00000343745
GNPDA1	9606.ENSP00000311876
FKBP1B	9606.ENSP00000238793
DPAGT1	9606.ENSP00000346142
