TCMGene	DiseasomeGene Manually	DiseasomeGenebySilk
http://purl.org/net/tcm/tcm.lifescience.ntu.edu.tw/id/gene/MYO6	http://www4.wiwiss.fu-berlin.de/diseasome/resource/genes/MYO6	http://www4.wiwiss.fu-berlin.de/diseasome/resource/genes/MYO6
http://purl.org/net/tcm/tcm.lifescience.ntu.edu.tw/id/gene/MYO6	http://www4.wiwiss.fu-berlin.de/diseasome/resource/genes/DFNA22	http://www4.wiwiss.fu-berlin.de/diseasome/resource/genes/MYO6
http://purl.org/net/tcm/tcm.lifescience.ntu.edu.tw/id/gene/MYO6	http://www4.wiwiss.fu-berlin.de/diseasome/resource/genes/DFNB37	http://www4.wiwiss.fu-berlin.de/diseasome/resource/genes/MYO6
http://purl.org/net/tcm/tcm.lifescience.ntu.edu.tw/id/gene/PRSS7	http://www4.wiwiss.fu-berlin.de/diseasome/resource/genes/PRSS7	http://www4.wiwiss.fu-berlin.de/diseasome/resource/genes/PRSS7
http://purl.org/net/tcm/tcm.lifescience.ntu.edu.tw/id/gene/PRSS7	http://www4.wiwiss.fu-berlin.de/diseasome/resource/genes/ENTK	http://www4.wiwiss.fu-berlin.de/diseasome/resource/genes/PRSS7
http://purl.org/net/tcm/tcm.lifescience.ntu.edu.tw/id/gene/LMNA	http://www4.wiwiss.fu-berlin.de/diseasome/resource/genes/CMD1A	http://www4.wiwiss.fu-berlin.de/diseasome/resource/genes/LMNA
http://purl.org/net/tcm/tcm.lifescience.ntu.edu.tw/id/gene/LMNA	http://www4.wiwiss.fu-berlin.de/diseasome/resource/genes/EMD2	http://www4.wiwiss.fu-berlin.de/diseasome/resource/genes/LMNA
http://purl.org/net/tcm/tcm.lifescience.ntu.edu.tw/id/gene/LMNA	http://www4.wiwiss.fu-berlin.de/diseasome/resource/genes/FPLD	http://www4.wiwiss.fu-berlin.de/diseasome/resource/genes/LMNA
http://purl.org/net/tcm/tcm.lifescience.ntu.edu.tw/id/gene/LMNA	http://www4.wiwiss.fu-berlin.de/diseasome/resource/genes/HGPS	http://www4.wiwiss.fu-berlin.de/diseasome/resource/genes/LMNA
http://purl.org/net/tcm/tcm.lifescience.ntu.edu.tw/id/gene/LMNA	http://www4.wiwiss.fu-berlin.de/diseasome/resource/genes/LGMD1B	http://www4.wiwiss.fu-berlin.de/diseasome/resource/genes/LMNA
http://purl.org/net/tcm/tcm.lifescience.ntu.edu.tw/id/gene/LMNA	http://www4.wiwiss.fu-berlin.de/diseasome/resource/genes/LMN1	http://www4.wiwiss.fu-berlin.de/diseasome/resource/genes/LMNA
http://purl.org/net/tcm/tcm.lifescience.ntu.edu.tw/id/gene/LMNA	http://www4.wiwiss.fu-berlin.de/diseasome/resource/genes/LMNA	http://www4.wiwiss.fu-berlin.de/diseasome/resource/genes/LMNA
http://purl.org/net/tcm/tcm.lifescience.ntu.edu.tw/id/gene/SGCG	http://www4.wiwiss.fu-berlin.de/diseasome/resource/genes/LGMD2C	http://www4.wiwiss.fu-berlin.de/diseasome/resource/genes/SGCG
http://purl.org/net/tcm/tcm.lifescience.ntu.edu.tw/id/gene/SGCG	http://www4.wiwiss.fu-berlin.de/diseasome/resource/genes/DMDA1	http://www4.wiwiss.fu-berlin.de/diseasome/resource/genes/SGCG
http://purl.org/net/tcm/tcm.lifescience.ntu.edu.tw/id/gene/SGCG	http://www4.wiwiss.fu-berlin.de/diseasome/resource/genes/SCG3	http://www4.wiwiss.fu-berlin.de/diseasome/resource/genes/SGCG
http://purl.org/net/tcm/tcm.lifescience.ntu.edu.tw/id/gene/SGCG	http://www4.wiwiss.fu-berlin.de/diseasome/resource/genes/SGCG	http://www4.wiwiss.fu-berlin.de/diseasome/resource/genes/SGCG
http://purl.org/net/tcm/tcm.lifescience.ntu.edu.tw/id/gene/PAPSS2	http://www4.wiwiss.fu-berlin.de/diseasome/resource/genes/PAPSS2	http://www4.wiwiss.fu-berlin.de/diseasome/resource/genes/PAPSS2
http://purl.org/net/tcm/tcm.lifescience.ntu.edu.tw/id/gene/PAPSS2	http://www4.wiwiss.fu-berlin.de/diseasome/resource/genes/ATPSK2	http://www4.wiwiss.fu-berlin.de/diseasome/resource/genes/PAPSS2
http://purl.org/net/tcm/tcm.lifescience.ntu.edu.tw/id/gene/ITGB2	http://www4.wiwiss.fu-berlin.de/diseasome/resource/genes/ITGB2	http://www4.wiwiss.fu-berlin.de/diseasome/resource/genes/ITGB2
http://purl.org/net/tcm/tcm.lifescience.ntu.edu.tw/id/gene/ITGB2	http://www4.wiwiss.fu-berlin.de/diseasome/resource/genes/CD18	http://www4.wiwiss.fu-berlin.de/diseasome/resource/genes/ITGB2
http://purl.org/net/tcm/tcm.lifescience.ntu.edu.tw/id/gene/ITGB2	http://www4.wiwiss.fu-berlin.de/diseasome/resource/genes/LAD	http://www4.wiwiss.fu-berlin.de/diseasome/resource/genes/ITGB2
http://purl.org/net/tcm/tcm.lifescience.ntu.edu.tw/id/gene/ITGB2	http://www4.wiwiss.fu-berlin.de/diseasome/resource/genes/LCAMB	http://www4.wiwiss.fu-berlin.de/diseasome/resource/genes/ITGB2
http://purl.org/net/tcm/tcm.lifescience.ntu.edu.tw/id/gene/SPG7	http://www4.wiwiss.fu-berlin.de/diseasome/resource/genes/CMAR	http://www4.wiwiss.fu-berlin.de/diseasome/resource/genes/SPG7
http://purl.org/net/tcm/tcm.lifescience.ntu.edu.tw/id/gene/SPG7	http://www4.wiwiss.fu-berlin.de/diseasome/resource/genes/PGN	http://www4.wiwiss.fu-berlin.de/diseasome/resource/genes/SPG7
